nominative,inessive,type
aakkonen,aakkosessa,38
aakkosellinen,aakkosellisessa,38
aakkosto,aakkostossa,2
aalloittainen,aalloittaisessa,38
aallokas,aallokkaassa,41
aaltoilu,aaltoilussa,2
-aaltoinen,aaltoisessa,38
aamiainen,aamiaisessa,38
aamuinen,aamuisessa,38
aamullinen,aamullisessa,38
aapinen,aapisessa,38
aarre,aarteessa,48
aarteisto,aarteistossa,2
aasialainen,aasialaisessa,38
aasimainen,aasimaisessa,38
aate,aatteessa,48
aatelinen,aatelisessa,38
aatteellinen,aatteellisessa,38
-aatteinen,-aatteisessa,38
aave,aaveessa,48
aavemainen,aavemaisessa,38
absoluuttinen,absoluuttisessa,38
abstraktinen,abstraktisessa,38
adjektiivinen,adjektiivisessa,38
adverbiaalinen,adverbiaalisessa,38
adverbinen,adverbisessa,38
adversatiivinen,adversatiivisessa,38
aerobinen,aerobisessa,38
aerobiologinen,aerobiologisessa,38
aerodynaaminen,aerodynaamisessa,38
afaattinen,afaattisessa,38
affektiivinen,affektiivisessa,38
affektinen,affektisessa,38
aforistinen,aforistisessa,38
afrikkalainen,afrikkalaisessa,38
aggressiivinen,aggressiivisessa,38
agitatorinen,agitatorisessa,38
agnostinen,agnostisessa,38
agraarinen,agraarisessa,38
ahava,ahavassa,11
ahdas,ahtaassa,41
ahde,ahteessa,48
ahdistelu,ahdistelussa,2
ahmaisu,ahmaisussa,2
ahnas,ahnaassa,41
ahne,ahneessa,48
aidanne,aidanteessa,48
aie,aikeessa,48
aihe,aiheessa,48
aiheellinen,aiheellisessa,38
-aiheinen,-aiheisessa,38
aikailu,aikailussa,2
aikainen,aikaisessa,38
aikalainen,aikalaisessa,38
aikamoinen,aikamoisessa,38
aikido,aikidossa,2
aikuinen,aikuisessa,38
ailahtelu,ailahtelussa,2
ainainen,ainaisessa,38
aine,aineessa,48
aineellinen,aineellisessa,38
-aineinen,-aineisessa,38
aineisto,aineistossa,2
-aineksinen,-aineksisessa,38
ainokainen,ainokaisessa,38
aistikas,aistikkaassa,41
aistillinen,aistillisessa,38
-aistinen,-aistisessa,38
aivokurkiainen,aivokurkiaisessa,38
aivosto,aivostossa,2
ajallinen,ajallisessa,38
ajankuluke,ajankulukkeessa,48
ajanviete,ajanvietteessä,48
ajanvietteellinen,ajanvietteellisessä,38
ajattelu,ajattelussa,2
ajatuksekas,ajatuksekkaassa,41
ajatuksellinen,ajatuksellisessa,38
-ajatuksinen,-ajatuksisessa,38
ajelu,ajelussa,2
ajoittainen,ajoittaisessa,38
ajokas,ajokkaassa,41
akallinen,akallisessa,38
akateeminen,akateemisessa,38
akkamainen,akkamaisessa,38
-akselinen,-akselisessa,38
aksiaalinen,aksiaalisessa,38
aksiomaattinen,aksiomaattisessa,38
aktiivinen,aktiivisessa,38
aktuaalinen,aktuaalisessa,38
akustinen,akustisessa,38
akusto,akustossa,2
akuuttinen,akuuttisessa,38
alainen,alaisessa,38
alakkainen,alakkaisessa,38
alakuloinen,alakuloisessa,38
alamainen,alamaisessa,38
alanne,alanteessa,48
albanialainen,albanialaisessa,38
albiino,albiinossa,2
aleksityyminen,aleksityymisessä,38
alentuvainen,alentuvaisessa,38
algebra,algebrassa,11
algebrallinen,algebrallisessa,38
alhainen,alhaisessa,38
alhaiso,alhaisossa,2
alijäämäinen,alijäämäisessä,38
alimmainen,alimmaisessa,38
alinen,alisessa,38
alinomainen,alinomaisessa,38
alisteinen,alisteisessa,38
alistuvainen,alistuvaisessa,38
alituinen,alituisessa,38
alkajaiset,–,38
alkalinen,alkalisessa,38
alkeellinen,alkeellisessa,38
alkeet,–,48
alkiolainen,alkiolaisessa,38
-alkuinen,-alkuisessa,38
allas,altaassa,41
allegorinen,allegorisessa,38
allekkainen,allekkaisessa,38
allergeeninen,allergeenisessa,38
allerginen,allergisessa,38
aloite,aloitteessa,48
aloittainen,aloittaisessa,38
aloitteellinen,aloitteellisessa,38
aloitteikas,aloitteikkaassa,41
-aloitteinen,-aloitteisessa,38
alokas,alokkaassa,41
alokasmainen,alokasmaisessa,38
aloke,alokkeessa,48
alpakkainen,alpakkaisessa,38
alpakkainen,alpakkaisessa,38
alpiininen,alpiinisessa,38
altis,alttiissa,41
altiste,altisteessa,48
altruistinen,altruistisessa,38
alue,alueessa,48
alueellinen,alueellisessa,38
-alueinen,-alueisessa,38
alueittainen,alueittaisessa,38
aluke,alukkeessa,48
alumiininen,alumiinisessa,38
alunen,alusessa,38
alustalainen,alustalaisessa,38
ambiofoninen,ambiofonisessa,38
ambivalenttinen,ambivalenttisessa,38
amerikkalainen,amerikkalaisessa,38
ammateittainen,ammateittaisessa,38
ammatillinen,ammatillisessa,38
ammattilainen,ammattilaisessa,38
ammattimainen,ammattimaisessa,38
amme,ammeessa,48
ammoinen,ammoisessa,38
ammuskelu,ammuskelussa,2
amorfinen,amorfisessa,38
ampiainen,ampiaisessa,38
anaalinen,anaalisessa,38
anabolinen,anabolisessa,38
anaerobinen,anaerobisessa,38
anakoluuttinen,anakoluuttisessa,38
anakronistinen,anakronistisessa,38
analgeettinen,analgeettisessa,38
analoginen,analogisessa,38
analyyttinen,analyyttisessä,38
anamnestinen,anamnestisessa,38
anarkistinen,anarkistisessa,38
anatominen,anatomisessa,38
androgeeninen,androgeenisessä,38
androgyyninen,androgyynisessä,38
androloginen,andrologisessa,38
ane,aneessa,48
aneeminen,aneemisessa,38
anestesiologinen,anestesiologisessa,38
angervo,angervossa,2
anglikaaninen,anglikaanisessa,38
anglosaksinen,anglosaksisessa,38
animaalinen,animaalisessa,38
animistinen,animistisessa,38
ankerias,ankeriaassa,41
ankeroinen,ankeroisessa,38
anniskelu,anniskelussa,2
-annoksinen,-annoksisessa,38
annostelu,annostelussa,2
anomaalinen,anomaalisessa,38
ansas,ansaassa,41
ansiokas,ansiokkaassa,41
antagonistinen,antagonistisessa,38
antarktinen,antarktisessa,38
antaumuksellinen,antaumuksellisessa,38
antelias,anteliaassa,41
antibioottinen,antibioottisessa,38
antiikkinen,antiikkisessa,38
anti-inflammatorinen,anti-inflammatorisessa,38
antikvaarinen,antikvaarisessa,38
antisemiittinen,antisemiittisessä,38
antiseptinen,antiseptisessä,38
antropologinen,antropologisessa,38
apaattinen,apaattisessa,38
apaja,apajassa,11
ape,appeessa,48
apokalyptinen,apokalyptisessa,38
apokryfinen,apokryfisessä,38
apologeettinen,apologeettisessa,38
apostolinen,apostolisessa,38
apposet,—,38
apriorinen,apriorisessa,38
apulainen,apulaisessa,38
arabialainen,arabialaisessa,38
arastelu,arastelussa,2
aristokraattinen,aristokraattisessa,38
aritmeettinen,aritmeettisessä,38
arjalainen,arjalaisessa,38
arkaainen,arkaaisessa,38
arkaistinen,arkaistisessa,38
arkeologinen,arkeologisessa,38
arkinen,arkisessa,38
arkisto,arkistossa,2
arkkitehtoninen,arkkitehtonisessa,38
arktinen,arktisessa,38
arkullinen,arkullisessa,38
armahainen,armahaisessa,38
armahtavainen,armahtavaisessa,38
armainen,armaisessa,38
armas,armaassa,41
armelias,armeliaassa,41
